Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
4M179,Funkadelic,America Eats Its Young,4 Men With Beards,"2xLP, Album, RE, 180",,2010,2746114,Uncategorized,2015-10-26 14:17:31,,,
4m196,Serge Gainsbourg,Initials B.B.,4 Men With Beards,"LP, Comp, RE, 180",,2010,2773784,Uncategorized,2015-02-26 07:53:58,,,
cad 2603,Scott Walker,The Drift,4AD,"2xLP, Album, RE",,2012,3719929,Uncategorized,2015-07-11 21:07:24,,,
CAD 3402,Future Islands,Singles,4AD,"LP, Album",,2014,5495019,Uncategorized,2015-02-19 15:07:33,,,
SMAS-3375,Paul & Linda McCartney,Ram,Apple Records,"LP, Album",,1971,4477546,Uncategorized,2015-01-28 19:41:07,,,
SO-383,The Beatles,Abbey Road,Apple Records,"LP, Album",,1969,4062967,Uncategorized,2015-01-28 20:26:56,,,
ST 2442,The Beatles,Rubber Soul,Apple Records,"LP, Album, RE",,1971,5888058,Uncategorized,2015-01-28 21:01:22,,,
"ST 2108, ST-2108",The Beatles,Something New,"Apple Records, Apple Records","LP, Album, RE",,1971,2401018,Uncategorized,2015-01-28 20:14:07,,,
"ST-2228, ST 2228",The Beatles,Beatles '65,"Apple Records, Capitol Records","LP, Album, RE",,1971,4462482,Uncategorized,2015-01-28 20:19:50,,,
"SMAS-2653, SMAS 2653, 2653",The Beatles,Sgt. Pepper's Lonely Hearts Club Band,"Apple Records, Capitol Records, Capitol Records","LP, Album, RE, Gat",,1975,3240838,Uncategorized,2015-01-28 21:07:44,,,
A2L 8401,The Kinks,One For The Road,Arista,"2xLP, Album",,1980,1813291,Uncategorized,2015-01-28 21:28:57,,,
AB-4240,The Kinks,Low Budget,Arista,"LP, Album",,1979,402415,Uncategorized,2015-01-31 18:28:43,,,
AL 4100,Lou Reed,Rock And Roll Heart,Arista,"LP, Album",,1976,985999,Uncategorized,2015-05-23 15:24:21,,,
AL 8502,Lou Reed,Lou Reed Live - Take No Prisoners,Arista,"2xLP, Album",,1978,1711362,Uncategorized,2015-05-23 15:21:43,,,
AL 9567,The Kinks,Give The People What They Want,Arista,"LP, Album",,1981,787393,Uncategorized,2015-01-31 18:24:55,,,
SD 33-286,Otis Redding,Otis Redding Live In Europe,ATCO Records,"LP, Album, RE",,0,6570527,Uncategorized,2015-10-26 07:04:06,,,
R1-535341,Led Zeppelin,Led Zeppelin III,Atlantic,"LP, Album, RE, RM, 180",,2014,5770432,Uncategorized,2016-01-21 17:47:00,,,
SD 7208,Led Zeppelin,Untitled,Atlantic,"LP, Album",,1971,5582031,Uncategorized,2015-02-19 15:22:49,,,
SD 8176,Aretha Franklin,Lady Soul,Atlantic,"LP, Album",,1968,5029603,Uncategorized,2015-07-29 21:11:05,,,
"SD 16029, SD-16029",Phil Collins,Face Value,"Atlantic, Atlantic","LP, Album, Gat",,1981,1014007,Uncategorized,2015-07-29 20:44:07,,,
BL-111,Ben Webster,Atmosphere For Lovers And Thieves,Black Lion,"LP, Album",,0,3157930,Uncategorized,2015-10-28 06:44:52,,,
BL-190,Ben Webster,Duke's In Bed!,Black Lion Records,"LP, Album, RE",,0,1457956,Uncategorized,2015-10-28 06:46:39,,,
"90233-1-H, 7 90233-1-H",Motörhead,No Remorse,"Bronze, Bronze","2xLP, Comp",,1984,6257244,Uncategorized,2015-08-18 06:07:28,,,
"2 MS 2166, 2MS 2166",The Beach Boys,Wild Honey & 20/20,"Brother Records (3), Reprise Records, Brother Records (3), Reprise Records","2xLP, Comp, Promo",,1974,4566254,Uncategorized,2015-01-28 21:19:01,,,
T 2458,The Beach Boys,Pet Sounds,Capitol Records,"LP, Album, Mono, Ltd, RE, 180",,2008,1763305,Uncategorized,2015-01-28 21:21:02,,,
"SMAL 2835, SMAL-2835",The Beatles,Magical Mystery Tour,"Capitol Records, Capitol Records","LP, Album",,1967,3352599,Uncategorized,2015-01-28 19:52:54,,,
"T 2576, T-2576",The Beatles,Revolver,"Capitol Records, Capitol Records","LP, Album, Mono",,1966,3500576,Uncategorized,2015-01-28 20:02:05,,,
